"RelativePath","DestinationPath","FileName","Length","LastWriteUtc","Action"
"010.JPG","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\010.JPG","010.JPG","833597","2026-08-17T00:12:57.0253650Z","REVIEW ONLY - DO NOT DELETE YET"
"1 003.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1 003.jpg","1 003.jpg","438234","2026-08-17T00:13:07.0762480Z","REVIEW ONLY - DO NOT DELETE YET"
"100-0006_IMG.JPG","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\100-0006_IMG.JPG","100-0006_IMG.JPG","815206","2026-08-17T00:13:06.7079272Z","REVIEW ONLY - DO NOT DELETE YET"
"100-0051_IMG.JPG","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\100-0051_IMG.JPG","100-0051_IMG.JPG","807751","2026-08-17T00:12:57.0504821Z","REVIEW ONLY - DO NOT DELETE YET"
"100-0072_IMG.JPG","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\100-0072_IMG.JPG","100-0072_IMG.JPG","946203","2026-08-17T00:13:06.5652947Z","REVIEW ONLY - DO NOT DELETE YET"
"100-0076_IMG.JPG","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\100-0076_IMG.JPG","100-0076_IMG.JPG","1164829","2026-08-17T00:13:06.3605357Z","REVIEW ONLY - DO NOT DELETE YET"
"102-0206_IMG.JPG","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\102-0206_IMG.JPG","102-0206_IMG.JPG","830623","2026-08-17T00:13:06.6952665Z","REVIEW ONLY - DO NOT DELETE YET"
"108-0893_IMG.JPG","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\108-0893_IMG.JPG","108-0893_IMG.JPG","451344","2026-08-17T00:12:57.4041905Z","REVIEW ONLY - DO NOT DELETE YET"
"108-0896_IMG.JPG","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\108-0896_IMG.JPG","108-0896_IMG.JPG","696630","2026-08-17T00:13:06.8159648Z","REVIEW ONLY - DO NOT DELETE YET"
"12 years of perfect attendance.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\12 years of perfect attendance.jpg","12 years of perfect attendance.jpg","1411255","2026-08-17T00:12:56.4997111Z","REVIEW ONLY - DO NOT DELETE YET"
"131-3126_IMG.JPG","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\131-3126_IMG.JPG","131-3126_IMG.JPG","524966","2026-08-17T00:12:57.3423735Z","REVIEW ONLY - DO NOT DELETE YET"
"1960\1960s_0001.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1960\1960s_0001.jpg","1960s_0001.jpg","8140081","2026-08-17T19:35:51.0146782Z","REVIEW ONLY - DO NOT DELETE YET"
"1960\1960s_0002_a_Restored.png","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1960\1960s_0002_a_Restored.png","1960s_0002_a_Restored.png","2610492","2026-08-17T19:31:09.8970170Z","REVIEW ONLY - DO NOT DELETE YET"
"1960\1960s_0003.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1960\1960s_0003.jpg","1960s_0003.jpg","8309378","2026-08-17T19:34:26.3428954Z","REVIEW ONLY - DO NOT DELETE YET"
"1960\1960s_0004_a_Restored.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1960\1960s_0004_a_Restored.jpg","1960s_0004_a_Restored.jpg","4064418","2026-08-17T19:29:47.0566508Z","REVIEW ONLY - DO NOT DELETE YET"
"1960\1960s_0005_a_Restored.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1960\1960s_0005_a_Restored.jpg","1960s_0005_a_Restored.jpg","4369928","2026-08-17T19:32:28.8677297Z","REVIEW ONLY - DO NOT DELETE YET"
"1960\1960s_0011.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1960\1960s_0011.jpg","1960s_0011.jpg","3944556","2026-08-17T20:17:08.3091281Z","REVIEW ONLY - DO NOT DELETE YET"
